Order_ID,Order_Date,Region,Product_ID,Product,Category,Order_Value,Quantity
ORD778224,2025-10-09,North,P010,Dining Table,Home & Living,1245,5
ORD778225,2025-02-15,North,P012,Engine Oil,Automotive,2478,2
ORD778226,2025-01-11,South,P010,Dining Table,Home & Living,2458,6
ORD778227,2025-06-03,North,P010,Dining Table,Home & Living,2119,1
ORD778228,2025-02-08,West,P003,Headphones,Electronics,2318,5
ORD778229,2025-08-04,West,P014,Shampoo,Health & Beauty,109,4
ORD778230,2025-09-22,North,P010,Dining Table,Home & Living,373,4
ORD778231,2025-12-15,East,P006,T-Shirt,Apparel,2024,1
ORD778232,2025-10-05,West,P010,Dining Table,Home & Living,799,7
ORD778233,2025-10-30,West,P003,Headphones,Electronics,211,7
ORD778234,2025-02-15,North,P006,T-Shirt,Apparel,389,9
ORD778235,2025-06-30,North,P008,Jacket,Apparel,1738,6
ORD778236,2025-03-26,South,P008,Jacket,Apparel,968,9
ORD778237,2025-04-22,West,P003,Headphones,Electronics,1922,2
ORD778238,2025-09-12,South,P005,Keyboard,Electronics,1956,9
ORD778239,2025-02-20,South,P004,Monitor,Electronics,862,9
ORD778240,2025-03-14,South,P008,Jacket,Apparel,1667,4
ORD778241,2025-12-05,West,P009,Sofa,Home & Living,1291,3
ORD778242,2025-07-12,South,P001,Laptop,Electronics,982,9
ORD778243,2025-11-24,North,P009,Sofa,Home & Living,2478,5
ORD778244,2025-10-10,South,P011,Car Seat,Automotive,825,5
ORD778245,2025-02-16,South,P008,Jacket,Apparel,460,9
ORD778246,2025-08-06,South,P012,Engine Oil,Automotive,1812,7
ORD778247,2025-09-23,South,P001,Laptop,Electronics,1049,4
ORD778248,2025-04-18,South,P008,Jacket,Apparel,1566,4
ORD778249,2025-02-28,East,P002,Smartphone,Electronics,1371,6
ORD778250,2025-12-22,East,P006,T-Shirt,Apparel,2193,6
ORD778251,2025-06-25,East,P012,Engine Oil,Automotive,172,3
ORD778252,2025-09-05,North,P015,Other Product,Others,2140,5
ORD778253,2025-10-26,North,P015,Other Product,Others,374,4
ORD778254,2025-11-15,South,P005,Keyboard,Electronics,489,9
ORD778255,2025-10-22,North,P004,Monitor,Electronics,1311,6
ORD778256,2025-06-17,South,P004,Monitor,Electronics,234,6
ORD778257,2025-03-29,West,P010,Dining Table,Home & Living,2132,5
ORD778258,2025-08-30,West,P010,Dining Table,Home & Living,1788,5
ORD778259,2025-03-02,South,P014,Shampoo,Health & Beauty,2244,1
ORD778260,2025-08-01,West,P011,Car Seat,Automotive,1408,5
ORD778261,2025-03-28,North,P012,Engine Oil,Automotive,857,1
ORD778262,2025-07-28,South,P006,T-Shirt,Apparel,246,6
ORD778263,2025-06-01,East,P010,Dining Table,Home & Living,240,6
ORD778264,2025-04-03,South,P006,T-Shirt,Apparel,1437,1
ORD778265,2025-04-13,South,P008,Jacket,Apparel,1947,1
ORD778266,2025-04-03,West,P004,Monitor,Electronics,998,5
ORD778267,2025-01-30,East,P013,Face Cream,Health & Beauty,181,2
ORD778268,2025-11-29,West,P001,Laptop,Electronics,1630,4
ORD778269,2025-11-27,East,P003,Headphones,Electronics,2461,5
ORD778270,2025-11-14,West,P015,Other Product,Others,1090,3
ORD778271,2025-10-04,East,P009,Sofa,Home & Living,749,1
ORD778272,2025-08-06,East,P004,Monitor,Electronics,2115,5
ORD778273,2025-04-20,North,P003,Headphones,Electronics,303,1
ORD778274,2025-01-28,North,P011,Car Seat,Automotive,554,8
ORD778275,2025-03-18,West,P010,Dining Table,Home & Living,1574,3
ORD778276,2025-12-17,North,P002,Smartphone,Electronics,265,8
ORD778277,2025-04-24,East,P006,T-Shirt,Apparel,482,3
ORD778278,2025-06-20,East,P010,Dining Table,Home & Living,1000,3
ORD778279,2025-05-29,West,P011,Car Seat,Automotive,1845,8
ORD778280,2025-03-16,North,P015,Other Product,Others,2340,8
ORD778281,2025-08-02,East,P009,Sofa,Home & Living,189,2
ORD778282,2025-10-20,West,P001,Laptop,Electronics,739,4
ORD778283,2025-04-26,North,P004,Monitor,Electronics,564,7
ORD778284,2025-11-09,South,P008,Jacket,Apparel,593,2
ORD778285,2025-03-12,North,P010,Dining Table,Home & Living,1931,8
ORD778286,2025-10-23,North,P003,Headphones,Electronics,1461,6
ORD778287,2025-12-10,North,P012,Engine Oil,Automotive,1090,9
ORD778288,2025-04-16,North,P010,Dining Table,Home & Living,1205,9
ORD778289,2025-11-28,South,P005,Keyboard,Electronics,2032,1
ORD778290,2025-08-17,South,P014,Shampoo,Health & Beauty,2267,5
ORD778291,2025-08-10,West,P009,Sofa,Home & Living,798,1
ORD778292,2025-11-11,West,P002,Smartphone,Electronics,375,4
ORD778293,2025-07-24,North,P015,Other Product,Others,880,7
ORD778294,2025-08-17,South,P004,Monitor,Electronics,1294,5
ORD778295,2025-04-04,North,P006,T-Shirt,Apparel,2455,9
ORD778296,2025-07-01,West,P005,Keyboard,Electronics,982,7
ORD778297,2025-06-20,East,P004,Monitor,Electronics,291,3
ORD778298,2025-11-06,North,P009,Sofa,Home & Living,2331,6
ORD778299,2025-01-28,West,P009,Sofa,Home & Living,1076,9
ORD778300,2025-08-16,East,P007,Jeans,Apparel,1067,8
ORD778301,2025-07-27,South,P010,Dining Table,Home & Living,1196,4
ORD778302,2025-12-26,East,P007,Jeans,Apparel,2498,2
ORD778303,2025-12-06,West,P013,Face Cream,Health & Beauty,1592,1
ORD778304,2025-10-21,East,P014,Shampoo,Health & Beauty,2087,2
ORD778305,2025-05-29,West,P015,Other Product,Others,1816,7
ORD778306,2025-02-06,North,P011,Car Seat,Automotive,990,8
ORD778307,2025-08-08,West,P012,Engine Oil,Automotive,651,5
ORD778308,2025-04-21,East,P004,Monitor,Electronics,1776,1
ORD778309,2025-06-15,South,P010,Dining Table,Home & Living,506,9
ORD778310,2025-01-26,West,P009,Sofa,Home & Living,118,3
ORD778311,2025-12-03,East,P014,Shampoo,Health & Beauty,1251,5
ORD778312,2025-08-27,North,P013,Face Cream,Health & Beauty,975,3
ORD778313,2025-04-13,East,P012,Engine Oil,Automotive,552,6
ORD778314,2025-05-02,North,P011,Car Seat,Automotive,546,3
ORD778315,2025-04-16,North,P011,Car Seat,Automotive,2297,7
ORD778316,2025-09-24,South,P004,Monitor,Electronics,224,5
ORD778317,2025-02-16,South,P005,Keyboard,Electronics,474,9
ORD778318,2025-01-25,East,P012,Engine Oil,Automotive,1077,6
ORD778319,2025-11-27,South,P009,Sofa,Home & Living,1881,2
ORD778320,2025-11-11,South,P003,Headphones,Electronics,175,5
ORD778321,2025-05-31,North,P011,Car Seat,Automotive,163,5
ORD778322,2025-01-27,West,P015,Other Product,Others,570,2
ORD778323,2025-05-21,North,P008,Jacket,Apparel,2386,9
ORD778324,2025-05-28,East,P003,Headphones,Electronics,1933,9
ORD778325,2025-04-16,South,P001,Laptop,Electronics,2341,8
ORD778326,2025-09-30,South,P012,Engine Oil,Automotive,1471,1
ORD778327,2025-02-16,North,P006,T-Shirt,Apparel,111,3
ORD778328,2025-10-10,East,P007,Jeans,Apparel,1860,8
ORD778329,2025-12-27,East,P007,Jeans,Apparel,2159,8
ORD778330,2025-03-14,South,P014,Shampoo,Health & Beauty,1509,9
ORD778331,2025-03-19,South,P001,Laptop,Electronics,1251,6
ORD778332,2025-02-05,West,P015,Other Product,Others,579,5
ORD778333,2025-05-29,East,P003,Headphones,Electronics,655,2
ORD778334,2025-09-18,North,P006,T-Shirt,Apparel,2337,7
ORD778335,2025-10-15,West,P008,Jacket,Apparel,2219,7
ORD778336,2025-05-09,South,P014,Shampoo,Health & Beauty,228,1
ORD778337,2025-07-13,East,P007,Jeans,Apparel,1802,4
ORD778338,2025-08-31,South,P001,Laptop,Electronics,1149,7
ORD778339,2025-10-26,North,P001,Laptop,Electronics,526,3
ORD778340,2025-08-18,East,P009,Sofa,Home & Living,1993,3
ORD778341,2025-04-27,South,P002,Smartphone,Electronics,465,6
ORD778342,2025-08-03,West,P007,Jeans,Apparel,897,1
ORD778343,2025-07-27,North,P001,Laptop,Electronics,2364,7
ORD778344,2025-10-05,North,P012,Engine Oil,Automotive,1029,4
ORD778345,2025-05-12,North,P012,Engine Oil,Automotive,1406,9
ORD778346,2025-05-26,North,P010,Dining Table,Home & Living,1401,2
ORD778347,2025-04-18,West,P003,Headphones,Electronics,1224,2
ORD778348,2025-04-05,West,P002,Smartphone,Electronics,1284,5
ORD778349,2025-09-28,East,P008,Jacket,Apparel,679,2
ORD778350,2025-07-15,South,P014,Shampoo,Health & Beauty,1802,3
ORD778351,2025-04-29,South,P004,Monitor,Electronics,1024,3
ORD778352,2025-12-05,East,P011,Car Seat,Automotive,550,8
ORD778353,2025-12-09,South,P015,Other Product,Others,1614,8
ORD778354,2025-11-02,North,P011,Car Seat,Automotive,1264,2
ORD778355,2025-11-11,North,P013,Face Cream,Health & Beauty,1093,3
ORD778356,2025-01-06,East,P010,Dining Table,Home & Living,274,2
ORD778357,2025-04-21,South,P002,Smartphone,Electronics,1973,7
ORD778358,2025-08-08,South,P009,Sofa,Home & Living,393,7
ORD778359,2025-11-06,North,P014,Shampoo,Health & Beauty,762,3
ORD778360,2025-03-05,East,P010,Dining Table,Home & Living,1426,8
ORD778361,2025-06-19,South,P013,Face Cream,Health & Beauty,2248,6
ORD778362,2025-04-27,North,P007,Jeans,Apparel,1198,2
ORD778363,2025-06-17,North,P006,T-Shirt,Apparel,252,1
ORD778364,2025-05-06,East,P011,Car Seat,Automotive,580,2
ORD778365,2025-12-02,North,P012,Engine Oil,Automotive,373,8
ORD778366,2025-09-01,South,P002,Smartphone,Electronics,887,2
ORD778367,2025-04-21,East,P014,Shampoo,Health & Beauty,1734,5
ORD778368,2025-10-25,West,P001,Laptop,Electronics,1955,7
ORD778369,2025-12-07,West,P011,Car Seat,Automotive,1757,7
ORD778370,2025-08-08,North,P001,Laptop,Electronics,1490,8
ORD778371,2025-12-27,South,P005,Keyboard,Electronics,210,6
ORD778372,2025-08-20,West,P005,Keyboard,Electronics,1013,7
ORD778373,2025-05-14,East,P012,Engine Oil,Automotive,2225,3
ORD778374,2025-03-31,North,P002,Smartphone,Electronics,290,8
ORD778375,2025-11-08,East,P005,Keyboard,Electronics,2008,1
ORD778376,2025-06-27,South,P010,Dining Table,Home & Living,1491,1
ORD778377,2025-01-24,North,P009,Sofa,Home & Living,1611,4
ORD778378,2025-08-29,North,P013,Face Cream,Health & Beauty,2457,2
ORD778379,2025-07-28,South,P007,Jeans,Apparel,947,7
ORD778380,2025-05-10,West,P014,Shampoo,Health & Beauty,1549,9
ORD778381,2025-11-18,North,P005,Keyboard,Electronics,2244,1
ORD778382,2025-08-04,South,P010,Dining Table,Home & Living,571,8
ORD778383,2025-04-23,South,P009,Sofa,Home & Living,925,4
ORD778384,2025-11-19,West,P005,Keyboard,Electronics,1969,9
ORD778385,2025-09-08,South,P002,Smartphone,Electronics,182,6
ORD778386,2025-11-15,North,P005,Keyboard,Electronics,221,1
ORD778387,2025-10-21,South,P012,Engine Oil,Automotive,919,5
ORD778388,2025-07-17,North,P013,Face Cream,Health & Beauty,634,7
ORD778389,2025-06-30,North,P012,Engine Oil,Automotive,228,6
ORD778390,2025-08-27,South,P012,Engine Oil,Automotive,647,7
ORD778391,2025-07-11,North,P004,Monitor,Electronics,1978,2
ORD778392,2025-04-07,West,P013,Face Cream,Health & Beauty,325,4
ORD778393,2025-05-06,North,P005,Keyboard,Electronics,2334,2
ORD778394,2025-05-10,South,P011,Car Seat,Automotive,140,8
ORD778395,2025-04-30,South,P006,T-Shirt,Apparel,1838,5
ORD778396,2025-05-29,South,P003,Headphones,Electronics,256,4
ORD778397,2025-12-04,South,P006,T-Shirt,Apparel,191,1
ORD778398,2025-12-04,West,P008,Jacket,Apparel,1431,4
ORD778399,2025-04-28,East,P010,Dining Table,Home & Living,247,7
ORD778400,2025-08-21,North,P008,Jacket,Apparel,1637,1
ORD778401,2025-05-20,West,P006,T-Shirt,Apparel,2451,2
ORD778402,2025-03-25,West,P005,Keyboard,Electronics,2096,4
ORD778403,2025-10-05,North,P002,Smartphone,Electronics,915,7
ORD778404,2025-03-10,North,P008,Jacket,Apparel,1272,9
ORD778405,2025-09-24,East,P014,Shampoo,Health & Beauty,2036,1
ORD778406,2025-08-11,South,P008,Jacket,Apparel,1204,2
ORD778407,2025-09-19,North,P007,Jeans,Apparel,2359,8
ORD778408,2025-10-19,North,P007,Jeans,Apparel,1252,6
ORD778409,2025-10-21,North,P005,Keyboard,Electronics,169,5
ORD778410,2025-02-26,North,P005,Keyboard,Electronics,2061,9
