Customer_ID,Customer_Name,Region,Customer_Type
CUS0082,Customer 82,South,Retail
CUS0083,Customer 83,North,Enterprise
CUS0084,Customer 84,South,Enterprise
CUS0085,Customer 85,East,Wholesale
CUS0086,Customer 86,South,Retail
CUS0087,Customer 87,East,Wholesale
CUS0088,Customer 88,South,Enterprise
CUS0089,Customer 89,East,Enterprise
CUS0090,Customer 90,East,Enterprise
CUS0091,Customer 91,West,Wholesale
CUS0092,Customer 92,North,Retail
CUS0093,Customer 93,West,Retail
CUS0094,Customer 94,West,Wholesale
CUS0095,Customer 95,North,Enterprise
CUS0096,Customer 96,East,Enterprise
CUS0097,Customer 97,North,Enterprise
CUS0098,Customer 98,West,Wholesale
CUS0099,Customer 99,East,Retail
CUS0100,Customer 100,North,Enterprise
CUS0101,Customer 101,North,Retail
CUS0102,Customer 102,South,Enterprise
CUS0103,Customer 103,West,Wholesale
CUS0104,Customer 104,North,Wholesale
CUS0105,Customer 105,East,Retail
CUS0106,Customer 106,South,Wholesale
CUS0107,Customer 107,North,Retail
CUS0108,Customer 108,South,Wholesale
CUS0109,Customer 109,West,Retail
CUS0110,Customer 110,South,Retail
CUS0111,Customer 111,East,Retail
CUS0112,Customer 112,South,Wholesale
CUS0113,Customer 113,South,Retail
CUS0114,Customer 114,West,Enterprise
CUS0115,Customer 115,North,Retail
CUS0116,Customer 116,South,Wholesale
CUS0117,Customer 117,West,Enterprise
CUS0118,Customer 118,East,Wholesale
CUS0119,Customer 119,South,Enterprise
CUS0120,Customer 120,East,Wholesale
CUS0121,Customer 121,West,Retail
CUS0122,Customer 122,West,Enterprise
CUS0123,Customer 123,South,Wholesale
CUS0124,Customer 124,South,Enterprise
CUS0125,Customer 125,North,Retail
CUS0126,Customer 126,North,Enterprise
CUS0127,Customer 127,East,Wholesale
CUS0128,Customer 128,East,Enterprise
CUS0129,Customer 129,South,Enterprise
CUS0130,Customer 130,West,Enterprise
CUS0131,Customer 131,South,Retail
CUS0132,Customer 132,West,Retail
CUS0133,Customer 133,West,Retail
CUS0134,Customer 134,West,Retail
CUS0135,Customer 135,West,Wholesale
CUS0136,Customer 136,North,Retail
CUS0137,Customer 137,North,Enterprise
CUS0138,Customer 138,South,Enterprise
CUS0139,Customer 139,South,Wholesale
CUS0140,Customer 140,South,Retail
CUS0141,Customer 141,South,Wholesale
CUS0142,Customer 142,North,Retail
CUS0143,Customer 143,South,Wholesale
CUS0144,Customer 144,South,Retail
CUS0145,Customer 145,North,Retail
CUS0146,Customer 146,North,Wholesale
CUS0147,Customer 147,West,Wholesale
CUS0148,Customer 148,North,Retail
CUS0149,Customer 149,West,Retail
CUS0150,Customer 150,West,Enterprise
CUS0151,Customer 151,East,Retail
CUS0152,Customer 152,West,Wholesale
CUS0153,Customer 153,South,Enterprise
CUS0154,Customer 154,East,Enterprise
CUS0155,Customer 155,West,Enterprise
CUS0156,Customer 156,East,Enterprise
CUS0157,Customer 157,West,Wholesale
CUS0158,Customer 158,East,Enterprise
CUS0159,Customer 159,West,Wholesale
CUS0160,Customer 160,North,Retail
CUS0161,Customer 161,North,Retail
CUS0162,Customer 162,North,Retail
CUS0163,Customer 163,North,Retail
CUS0164,Customer 164,West,Wholesale
CUS0165,Customer 165,West,Retail
CUS0166,Customer 166,West,Enterprise
CUS0167,Customer 167,South,Retail
CUS0168,Customer 168,South,Wholesale
CUS0169,Customer 169,East,Retail
CUS0170,Customer 170,South,Retail
CUS0171,Customer 171,North,Enterprise
CUS0172,Customer 172,South,Wholesale
CUS0173,Customer 173,South,Wholesale
CUS0174,Customer 174,West,Enterprise
CUS0175,Customer 175,North,Enterprise
CUS0176,Customer 176,East,Wholesale
CUS0177,Customer 177,North,Enterprise
CUS0178,Customer 178,South,Retail
CUS0179,Customer 179,East,Enterprise
CUS0180,Customer 180,North,Wholesale
CUS0181,Customer 181,North,Retail
CUS0182,Customer 182,North,Retail
CUS0183,Customer 183,West,Enterprise
CUS0184,Customer 184,East,Enterprise
CUS0185,Customer 185,South,Retail
CUS0186,Customer 186,North,Enterprise
CUS0187,Customer 187,West,Enterprise
CUS0188,Customer 188,South,Enterprise
CUS0189,Customer 189,West,Wholesale
CUS0190,Customer 190,North,Wholesale
CUS0191,Customer 191,East,Wholesale
CUS0192,Customer 192,East,Retail
CUS0193,Customer 193,North,Enterprise
CUS0194,Customer 194,West,Wholesale
CUS0195,Customer 195,East,Wholesale
CUS0196,Customer 196,North,Retail
CUS0197,Customer 197,North,Enterprise
CUS0198,Customer 198,West,Wholesale
CUS0199,Customer 199,North,Enterprise
CUS0200,Customer 200,West,Wholesale
CUS0201,Customer 201,North,Retail
CUS0202,Customer 202,North,Retail
CUS0203,Customer 203,East,Retail
CUS0204,Customer 204,North,Enterprise
CUS0205,Customer 205,North,Retail
CUS0206,Customer 206,East,Enterprise
CUS0207,Customer 207,South,Retail
CUS0208,Customer 208,North,Wholesale
CUS0209,Customer 209,North,Wholesale
CUS0210,Customer 210,North,Retail
CUS0211,Customer 211,East,Wholesale
CUS0212,Customer 212,South,Wholesale
CUS0213,Customer 213,South,Wholesale
CUS0214,Customer 214,North,Wholesale
CUS0215,Customer 215,West,Retail
CUS0216,Customer 216,West,Enterprise
CUS0217,Customer 217,South,Wholesale
CUS0218,Customer 218,South,Enterprise
CUS0219,Customer 219,North,Wholesale
CUS0220,Customer 220,West,Enterprise
CUS0221,Customer 221,South,Wholesale
CUS0222,Customer 222,North,Retail
CUS0223,Customer 223,South,Retail
CUS0224,Customer 224,East,Wholesale
CUS0225,Customer 225,North,Enterprise
CUS0226,Customer 226,West,Retail
CUS0227,Customer 227,West,Retail
CUS0228,Customer 228,South,Retail
CUS0229,Customer 229,West,Enterprise
CUS0230,Customer 230,West,Wholesale
CUS0231,Customer 231,North,Wholesale
CUS0232,Customer 232,South,Enterprise
CUS0233,Customer 233,West,Retail
CUS0234,Customer 234,North,Wholesale
CUS0235,Customer 235,North,Retail
CUS0236,Customer 236,East,Enterprise
CUS0237,Customer 237,East,Retail
CUS0238,Customer 238,South,Retail
CUS0239,Customer 239,West,Enterprise
CUS0240,Customer 240,East,Retail
CUS0241,Customer 241,North,Wholesale
CUS0242,Customer 242,North,Retail
CUS0243,Customer 243,West,Wholesale
CUS0244,Customer 244,West,Enterprise
CUS0245,Customer 245,West,Enterprise
CUS0246,Customer 246,South,Wholesale
CUS0247,Customer 247,South,Wholesale
CUS0248,Customer 248,West,Retail
CUS0249,Customer 249,North,Retail
CUS0250,Customer 250,North,Enterprise
CUS0251,Customer 251,East,Enterprise
CUS0252,Customer 252,West,Retail
CUS0253,Customer 253,East,Retail
CUS0254,Customer 254,East,Wholesale
CUS0255,Customer 255,South,Retail
CUS0256,Customer 256,East,Retail
CUS0257,Customer 257,South,Retail
CUS0258,Customer 258,East,Retail
CUS0259,Customer 259,South,Retail
CUS0260,Customer 260,North,Retail
CUS0261,Customer 261,East,Retail
CUS0262,Customer 262,East,Wholesale
CUS0263,Customer 263,West,Enterprise
CUS0264,Customer 264,South,Wholesale
CUS0265,Customer 265,East,Enterprise
CUS0266,Customer 266,South,Retail
CUS0267,Customer 267,East,Retail
CUS0268,Customer 268,East,Wholesale
CUS0269,Customer 269,East,Enterprise
CUS0270,Customer 270,North,Wholesale
CUS0271,Customer 271,West,Wholesale
CUS0272,Customer 272,East,Enterprise
CUS0273,Customer 273,North,Enterprise
CUS0274,Customer 274,East,Enterprise
CUS0275,Customer 275,South,Retail
CUS0276,Customer 276,South,Wholesale
CUS0277,Customer 277,East,Retail
CUS0278,Customer 278,East,Wholesale
CUS0279,Customer 279,East,Enterprise
CUS0280,Customer 280,East,Wholesale
CUS0281,Customer 281,North,Wholesale
CUS0282,Customer 282,North,Enterprise
CUS0283,Customer 283,West,Retail
CUS0284,Customer 284,North,Retail
CUS0285,Customer 285,East,Wholesale
CUS0286,Customer 286,East,Retail
CUS0287,Customer 287,West,Wholesale
CUS0288,Customer 288,North,Enterprise
CUS0289,Customer 289,South,Enterprise
CUS0290,Customer 290,East,Retail
CUS0291,Customer 291,West,Wholesale
CUS0292,Customer 292,West,Wholesale
CUS0293,Customer 293,North,Enterprise
CUS0294,Customer 294,North,Wholesale
CUS0295,Customer 295,East,Wholesale
CUS0296,Customer 296,West,Wholesale
CUS0297,Customer 297,South,Retail
CUS0298,Customer 298,West,Wholesale
CUS0299,Customer 299,East,Wholesale
CUS0300,Customer 300,East,Retail
CUS0301,Customer 301,South,Retail
CUS0302,Customer 302,South,Retail
CUS0303,Customer 303,West,Enterprise
CUS0304,Customer 304,East,Retail
CUS0305,Customer 305,West,Retail
CUS0306,Customer 306,South,Enterprise
CUS0307,Customer 307,South,Retail
CUS0308,Customer 308,South,Wholesale
CUS0309,Customer 309,East,Wholesale
CUS0310,Customer 310,West,Enterprise
CUS0311,Customer 311,East,Retail
CUS0312,Customer 312,West,Retail
CUS0313,Customer 313,East,Enterprise
CUS0314,Customer 314,East,Enterprise
CUS0315,Customer 315,East,Wholesale
CUS0316,Customer 316,West,Retail
CUS0317,Customer 317,East,Wholesale
CUS0318,Customer 318,South,Enterprise
CUS0319,Customer 319,South,Enterprise
CUS0320,Customer 320,North,Wholesale
CUS0321,Customer 321,East,Enterprise
CUS0322,Customer 322,South,Enterprise
CUS0323,Customer 323,East,Retail
CUS0324,Customer 324,North,Wholesale
CUS0325,Customer 325,South,Wholesale
CUS0326,Customer 326,North,Retail
CUS0327,Customer 327,West,Wholesale
CUS0328,Customer 328,North,Enterprise
CUS0329,Customer 329,West,Enterprise
CUS0330,Customer 330,West,Retail
CUS0331,Customer 331,South,Enterprise
CUS0332,Customer 332,West,Enterprise
CUS0333,Customer 333,South,Enterprise
CUS0334,Customer 334,South,Enterprise
CUS0335,Customer 335,East,Retail
CUS0336,Customer 336,West,Wholesale
CUS0337,Customer 337,North,Enterprise
CUS0338,Customer 338,South,Enterprise
CUS0339,Customer 339,North,Retail
CUS0340,Customer 340,East,Enterprise
CUS0341,Customer 341,West,Retail
CUS0342,Customer 342,East,Wholesale
CUS0343,Customer 343,South,Wholesale
CUS0344,Customer 344,East,Retail
CUS0345,Customer 345,South,Wholesale
CUS0346,Customer 346,East,Enterprise
CUS0347,Customer 347,South,Wholesale
CUS0348,Customer 348,North,Retail
CUS0349,Customer 349,West,Retail
CUS0350,Customer 350,North,Wholesale
CUS0351,Customer 351,South,Enterprise
CUS0352,Customer 352,West,Retail
CUS0353,Customer 353,South,Enterprise
CUS0354,Customer 354,West,Wholesale
CUS0355,Customer 355,West,Retail
CUS0356,Customer 356,West,Wholesale
CUS0357,Customer 357,North,Wholesale
CUS0358,Customer 358,North,Retail
CUS0359,Customer 359,North,Wholesale
CUS0360,Customer 360,North,Enterprise
CUS0361,Customer 361,West,Wholesale
CUS0362,Customer 362,West,Enterprise
CUS0363,Customer 363,East,Retail
CUS0364,Customer 364,East,Enterprise
CUS0365,Customer 365,North,Enterprise
CUS0366,Customer 366,West,Enterprise
CUS0367,Customer 367,South,Retail
CUS0368,Customer 368,West,Enterprise
CUS0369,Customer 369,East,Wholesale
CUS0370,Customer 370,East,Wholesale
CUS0371,Customer 371,West,Retail
CUS0372,Customer 372,North,Wholesale
CUS0373,Customer 373,West,Retail
CUS0374,Customer 374,North,Wholesale
CUS0375,Customer 375,West,Retail
CUS0376,Customer 376,North,Retail
CUS0377,Customer 377,East,Enterprise
CUS0378,Customer 378,North,Wholesale
CUS0379,Customer 379,South,Retail
CUS0380,Customer 380,West,Wholesale
CUS0381,Customer 381,East,Wholesale
CUS0382,Customer 382,North,Enterprise
CUS0383,Customer 383,North,Retail
CUS0384,Customer 384,South,Enterprise
CUS0385,Customer 385,West,Wholesale
CUS0386,Customer 386,South,Retail
CUS0387,Customer 387,North,Enterprise
CUS0388,Customer 388,West,Wholesale
CUS0389,Customer 389,East,Retail
CUS0390,Customer 390,South,Enterprise
CUS0391,Customer 391,South,Retail
CUS0392,Customer 392,West,Retail
CUS0393,Customer 393,North,Wholesale
CUS0394,Customer 394,North,Wholesale
CUS0395,Customer 395,South,Enterprise
CUS0396,Customer 396,West,Wholesale
CUS0397,Customer 397,East,Retail
CUS0398,Customer 398,West,Retail
CUS0399,Customer 399,West,Enterprise
CUS0400,Customer 400,East,Enterprise
CUS0401,Customer 401,West,Retail
CUS0402,Customer 402,East,Retail
CUS0403,Customer 403,West,Retail
CUS0404,Customer 404,East,Retail
CUS0405,Customer 405,South,Enterprise
CUS0406,Customer 406,East,Retail
CUS0407,Customer 407,East,Enterprise
CUS0408,Customer 408,East,Retail
CUS0409,Customer 409,North,Retail
CUS0410,Customer 410,South,Retail
CUS0411,Customer 411,South,Enterprise
CUS0412,Customer 412,West,Retail
CUS0413,Customer 413,West,Wholesale
CUS0414,Customer 414,East,Enterprise
CUS0415,Customer 415,West,Enterprise
CUS0416,Customer 416,South,Enterprise
CUS0417,Customer 417,West,Enterprise
CUS0418,Customer 418,North,Retail
CUS0419,Customer 419,West,Enterprise
CUS0420,Customer 420,West,Enterprise
CUS0421,Customer 421,South,Wholesale
CUS0422,Customer 422,South,Wholesale
CUS0423,Customer 423,North,Enterprise
CUS0424,Customer 424,West,Wholesale
CUS0425,Customer 425,West,Enterprise
CUS0426,Customer 426,South,Retail
CUS0427,Customer 427,North,Wholesale
CUS0428,Customer 428,South,Retail
CUS0429,Customer 429,South,Enterprise
CUS0430,Customer 430,South,Retail
CUS0431,Customer 431,North,Wholesale
CUS0432,Customer 432,West,Retail
CUS0433,Customer 433,South,Retail
CUS0434,Customer 434,South,Wholesale
CUS0435,Customer 435,South,Retail
CUS0436,Customer 436,North,Enterprise
CUS0437,Customer 437,West,Enterprise
CUS0438,Customer 438,South,Wholesale
CUS0439,Customer 439,East,Retail
CUS0440,Customer 440,East,Enterprise
CUS0441,Customer 441,South,Wholesale
CUS0442,Customer 442,East,Wholesale
CUS0443,Customer 443,North,Enterprise
CUS0444,Customer 444,North,Enterprise
CUS0445,Customer 445,North,Retail
CUS0446,Customer 446,South,Retail
CUS0447,Customer 447,North,Retail
CUS0448,Customer 448,West,Wholesale
CUS0449,Customer 449,East,Enterprise
CUS0450,Customer 450,East,Enterprise
CUS0451,Customer 451,West,Enterprise
CUS0452,Customer 452,South,Retail
CUS0453,Customer 453,North,Wholesale
CUS0454,Customer 454,East,Enterprise
CUS0455,Customer 455,North,Wholesale
CUS0456,Customer 456,North,Retail
CUS0457,Customer 457,East,Enterprise
CUS0458,Customer 458,North,Retail
CUS0459,Customer 459,West,Wholesale
CUS0460,Customer 460,West,Enterprise
CUS0461,Customer 461,West,Enterprise
CUS0462,Customer 462,West,Enterprise
CUS0463,Customer 463,East,Retail
CUS0464,Customer 464,West,Wholesale
CUS0465,Customer 465,South,Enterprise
CUS0466,Customer 466,North,Retail
CUS0467,Customer 467,North,Retail
CUS0468,Customer 468,East,Retail
CUS0469,Customer 469,East,Retail
CUS0470,Customer 470,West,Enterprise
CUS0471,Customer 471,West,Retail
CUS0472,Customer 472,West,Enterprise
CUS0473,Customer 473,East,Retail
CUS0474,Customer 474,North,Enterprise
CUS0475,Customer 475,South,Retail
CUS0476,Customer 476,East,Wholesale
CUS0477,Customer 477,East,Wholesale
CUS0478,Customer 478,North,Wholesale
CUS0479,Customer 479,South,Wholesale
CUS0480,Customer 480,West,Retail
CUS0481,Customer 481,North,Wholesale
CUS0482,Customer 482,East,Wholesale
CUS0483,Customer 483,South,Enterprise
CUS0484,Customer 484,North,Enterprise
CUS0485,Customer 485,West,Wholesale
CUS0486,Customer 486,West,Wholesale
CUS0487,Customer 487,East,Retail
CUS0488,Customer 488,South,Retail
CUS0489,Customer 489,North,Wholesale
CUS0490,Customer 490,East,Wholesale
CUS0491,Customer 491,East,Enterprise
CUS0492,Customer 492,South,Enterprise
CUS0493,Customer 493,North,Wholesale
CUS0494,Customer 494,North,Enterprise
CUS0495,Customer 495,East,Enterprise
CUS0496,Customer 496,East,Retail
CUS0497,Customer 497,East,Wholesale
CUS0498,Customer 498,East,Enterprise
CUS0499,Customer 499,North,Retail
CUS0500,Customer 500,West,Enterprise
CUS0501,Customer 501,North,Wholesale
CUS0502,Customer 502,North,Wholesale
CUS0503,Customer 503,South,Retail
CUS0504,Customer 504,West,Wholesale
CUS0505,Customer 505,West,Enterprise
CUS0506,Customer 506,West,Wholesale
CUS0507,Customer 507,North,Wholesale
CUS0508,Customer 508,East,Enterprise
CUS0509,Customer 509,West,Enterprise
CUS0510,Customer 510,North,Enterprise
CUS0511,Customer 511,South,Retail
CUS0512,Customer 512,North,Retail
CUS0513,Customer 513,South,Wholesale
CUS0514,Customer 514,West,Retail
CUS0515,Customer 515,West,Retail
CUS0516,Customer 516,East,Retail
CUS0517,Customer 517,South,Enterprise
CUS0518,Customer 518,North,Wholesale
CUS0519,Customer 519,North,Retail
CUS0520,Customer 520,West,Retail
CUS0521,Customer 521,East,Enterprise
CUS0522,Customer 522,North,Wholesale
CUS0523,Customer 523,North,Retail
CUS0524,Customer 524,West,Enterprise
CUS0525,Customer 525,North,Retail
CUS0526,Customer 526,East,Wholesale
CUS0527,Customer 527,East,Enterprise
CUS0528,Customer 528,South,Wholesale
CUS0529,Customer 529,South,Wholesale
CUS0530,Customer 530,South,Enterprise
CUS0531,Customer 531,South,Retail
CUS0532,Customer 532,West,Wholesale
CUS0533,Customer 533,East,Retail
CUS0534,Customer 534,South,Retail
CUS0535,Customer 535,West,Enterprise
CUS0536,Customer 536,South,Enterprise
CUS0537,Customer 537,East,Wholesale
CUS0538,Customer 538,South,Retail
CUS0539,Customer 539,West,Wholesale
CUS0540,Customer 540,North,Enterprise
CUS0541,Customer 541,East,Wholesale
CUS0542,Customer 542,South,Enterprise
CUS0543,Customer 543,South,Wholesale
CUS0544,Customer 544,West,Retail
CUS0545,Customer 545,South,Retail
CUS0546,Customer 546,South,Enterprise
CUS0547,Customer 547,East,Retail
CUS0548,Customer 548,West,Retail
CUS0549,Customer 549,West,Retail
CUS0550,Customer 550,North,Retail
CUS0551,Customer 551,North,Wholesale
CUS0552,Customer 552,South,Enterprise
CUS0553,Customer 553,East,Retail
CUS0554,Customer 554,North,Retail
CUS0555,Customer 555,South,Retail
CUS0556,Customer 556,East,Enterprise
CUS0557,Customer 557,North,Enterprise
CUS0558,Customer 558,West,Retail
CUS0559,Customer 559,East,Retail
CUS0560,Customer 560,North,Enterprise
CUS0561,Customer 561,West,Wholesale
CUS0562,Customer 562,West,Enterprise
CUS0563,Customer 563,West,Retail
CUS0564,Customer 564,South,Enterprise
CUS0565,Customer 565,West,Wholesale
CUS0566,Customer 566,North,Retail
CUS0567,Customer 567,North,Retail
CUS0568,Customer 568,South,Retail
CUS0569,Customer 569,East,Wholesale
CUS0570,Customer 570,South,Enterprise
CUS0571,Customer 571,North,Enterprise
CUS0572,Customer 572,East,Enterprise
CUS0573,Customer 573,East,Wholesale
CUS0574,Customer 574,East,Enterprise
CUS0575,Customer 575,West,Wholesale
CUS0576,Customer 576,North,Enterprise
CUS0577,Customer 577,West,Retail
CUS0578,Customer 578,East,Retail
CUS0579,Customer 579,East,Enterprise
CUS0580,Customer 580,South,Enterprise
CUS0581,Customer 581,South,Retail
CUS0582,Customer 582,East,Wholesale
CUS0583,Customer 583,East,Wholesale
CUS0584,Customer 584,South,Enterprise
CUS0585,Customer 585,East,Enterprise
CUS0586,Customer 586,South,Enterprise
CUS0587,Customer 587,West,Wholesale
CUS0588,Customer 588,South,Retail
CUS0589,Customer 589,North,Enterprise
CUS0590,Customer 590,East,Enterprise
CUS0591,Customer 591,North,Retail
CUS0592,Customer 592,South,Enterprise
CUS0593,Customer 593,West,Enterprise
CUS0594,Customer 594,West,Wholesale
CUS0595,Customer 595,South,Retail
CUS0596,Customer 596,West,Enterprise
CUS0597,Customer 597,South,Retail
CUS0598,Customer 598,North,Retail
CUS0599,Customer 599,West,Retail
CUS0600,Customer 600,North,Enterprise
CUS0601,Customer 601,East,Retail
CUS0602,Customer 602,East,Retail
CUS0603,Customer 603,West,Retail
CUS0604,Customer 604,East,Wholesale
CUS0605,Customer 605,North,Enterprise
CUS0606,Customer 606,North,Wholesale
CUS0607,Customer 607,North,Retail
CUS0608,Customer 608,North,Retail
CUS0609,Customer 609,East,Wholesale
CUS0610,Customer 610,West,Wholesale
CUS0611,Customer 611,East,Enterprise
CUS0612,Customer 612,West,Wholesale
CUS0613,Customer 613,East,Retail
CUS0614,Customer 614,North,Retail
CUS0615,Customer 615,East,Enterprise
CUS0616,Customer 616,West,Enterprise
CUS0617,Customer 617,West,Enterprise
CUS0618,Customer 618,East,Enterprise
CUS0619,Customer 619,North,Wholesale
CUS0620,Customer 620,South,Enterprise
CUS0621,Customer 621,North,Wholesale
CUS0622,Customer 622,South,Enterprise
CUS0623,Customer 623,West,Retail
CUS0624,Customer 624,South,Enterprise
CUS0625,Customer 625,East,Retail
CUS0626,Customer 626,West,Wholesale
CUS0627,Customer 627,East,Wholesale
CUS0628,Customer 628,North,Retail
CUS0629,Customer 629,North,Retail
CUS0630,Customer 630,West,Retail
CUS0631,Customer 631,West,Retail
CUS0632,Customer 632,North,Wholesale
CUS0633,Customer 633,East,Retail
CUS0634,Customer 634,West,Enterprise
CUS0635,Customer 635,East,Enterprise
CUS0636,Customer 636,East,Retail
CUS0637,Customer 637,East,Enterprise
CUS0638,Customer 638,North,Retail
CUS0639,Customer 639,West,Wholesale
CUS0640,Customer 640,East,Wholesale
CUS0641,Customer 641,North,Wholesale
CUS0642,Customer 642,South,Wholesale
CUS0643,Customer 643,West,Enterprise
CUS0644,Customer 644,West,Wholesale
CUS0645,Customer 645,East,Wholesale
CUS0646,Customer 646,North,Enterprise
CUS0647,Customer 647,West,Wholesale
CUS0648,Customer 648,South,Enterprise
CUS0649,Customer 649,North,Enterprise
CUS0650,Customer 650,South,Wholesale
CUS0651,Customer 651,North,Retail
CUS0652,Customer 652,North,Enterprise
CUS0653,Customer 653,West,Wholesale
CUS0654,Customer 654,East,Retail
CUS0655,Customer 655,South,Enterprise
CUS0656,Customer 656,East,Enterprise
CUS0657,Customer 657,East,Wholesale
CUS0658,Customer 658,East,Wholesale
CUS0659,Customer 659,South,Enterprise
CUS0660,Customer 660,South,Enterprise
CUS0661,Customer 661,West,Retail
CUS0662,Customer 662,East,Wholesale
CUS0663,Customer 663,South,Retail
CUS0664,Customer 664,East,Retail
CUS0665,Customer 665,West,Enterprise
CUS0666,Customer 666,North,Enterprise
CUS0667,Customer 667,West,Retail
CUS0668,Customer 668,East,Retail
CUS0669,Customer 669,North,Wholesale
CUS0670,Customer 670,South,Wholesale
CUS0671,Customer 671,North,Enterprise
CUS0672,Customer 672,North,Enterprise
CUS0673,Customer 673,North,Retail
CUS0674,Customer 674,South,Enterprise
CUS0675,Customer 675,North,Wholesale
CUS0676,Customer 676,East,Enterprise
CUS0677,Customer 677,East,Enterprise
CUS0678,Customer 678,West,Retail
CUS0679,Customer 679,West,Wholesale
CUS0680,Customer 680,North,Wholesale
CUS0681,Customer 681,North,Retail
CUS0682,Customer 682,West,Wholesale
CUS0683,Customer 683,South,Enterprise
CUS0684,Customer 684,West,Wholesale
CUS0685,Customer 685,South,Enterprise
CUS0686,Customer 686,North,Retail
CUS0687,Customer 687,East,Wholesale
CUS0688,Customer 688,East,Retail
CUS0689,Customer 689,East,Wholesale
CUS0690,Customer 690,East,Enterprise
CUS0691,Customer 691,East,Retail
CUS0692,Customer 692,East,Wholesale
CUS0693,Customer 693,North,Retail
CUS0694,Customer 694,North,Wholesale
CUS0695,Customer 695,South,Enterprise
CUS0696,Customer 696,North,Wholesale
CUS0697,Customer 697,South,Retail
CUS0698,Customer 698,West,Enterprise
CUS0699,Customer 699,South,Wholesale
CUS0700,Customer 700,North,Retail
CUS0701,Customer 701,South,Wholesale
CUS0702,Customer 702,South,Retail
CUS0703,Customer 703,West,Retail
CUS0704,Customer 704,West,Retail
CUS0705,Customer 705,South,Retail
CUS0706,Customer 706,East,Retail
CUS0707,Customer 707,East,Retail
CUS0708,Customer 708,East,Retail
CUS0709,Customer 709,South,Retail
CUS0710,Customer 710,South,Retail
CUS0711,Customer 711,South,Enterprise
CUS0712,Customer 712,South,Wholesale
CUS0713,Customer 713,West,Wholesale
CUS0714,Customer 714,West,Enterprise
CUS0715,Customer 715,South,Wholesale
CUS0716,Customer 716,South,Retail
CUS0717,Customer 717,West,Retail
CUS0718,Customer 718,West,Enterprise
CUS0719,Customer 719,South,Wholesale
CUS0720,Customer 720,West,Retail
CUS0721,Customer 721,South,Enterprise
CUS0722,Customer 722,East,Wholesale
CUS0723,Customer 723,South,Enterprise
