Shipment_ID,Order_ID,Product,Destination,Status,Ship_Date,Delivery_Date
SHP120071,ORD778071,Headphones,West,Delivered,2025-11-04,2025-11-09
SHP120072,ORD778072,Laptop,East,Delivered,2025-11-14,2025-11-16
SHP120073,ORD778073,Face Cream,West,Delivered,2025-11-08,2025-11-12
SHP120074,ORD778074,Dining Table,West,Delivered,2025-10-01,2025-10-03
SHP120075,ORD778075,Laptop,South,Delivered,2025-05-21,2025-05-26
SHP120076,ORD778076,Jacket,South,Delivered,2025-01-18,2025-01-23
SHP120077,ORD778077,Sofa,South,Delivered,2025-08-09,2025-08-13
SHP120078,ORD778078,Engine Oil,South,Delivered,2025-05-25,2025-05-29
SHP120079,ORD778079,Face Cream,East,Delivered,2025-04-28,2025-05-04
SHP120080,ORD778080,Monitor,North,Delivered,2025-06-18,2025-06-23
SHP120081,ORD778081,Other Product,South,Delivered,2025-05-13,2025-05-19
SHP120082,ORD778082,Engine Oil,West,Delivered,2025-11-16,2025-11-22
SHP120083,ORD778083,Shampoo,East,Delivered,2025-10-11,2025-10-19
SHP120084,ORD778084,Headphones,East,Delivered,2025-10-31,2025-11-04
SHP120085,ORD778085,Monitor,West,Delivered,2025-12-19,2025-12-23
SHP120086,ORD778086,Keyboard,North,Delivered,2025-09-07,2025-09-14
SHP120087,ORD778087,Jacket,East,Delivered,2025-04-04,2025-04-11
SHP120088,ORD778088,Keyboard,South,Delivered,2025-05-26,2025-05-30
SHP120089,ORD778089,Other Product,North,Delivered,2025-03-03,2025-03-06
SHP120090,ORD778090,Shampoo,West,Delivered,2025-04-29,2025-05-03
SHP120091,ORD778091,Car Seat,North,Delivered,2025-07-21,2025-07-29
SHP120092,ORD778092,Dining Table,South,Delivered,2025-04-12,2025-04-20
SHP120093,ORD778093,Engine Oil,South,Delivered,2025-10-23,2025-10-30
SHP120094,ORD778094,Face Cream,South,Delivered,2025-01-09,2025-01-14
SHP120095,ORD778095,Car Seat,North,Delivered,2025-02-27,2025-03-05
SHP120096,ORD778096,Keyboard,South,Delivered,2025-09-04,2025-09-07
SHP120097,ORD778097,Keyboard,West,Delivered,2025-04-26,2025-05-03
SHP120098,ORD778098,Jeans,North,Delivered,2025-03-18,2025-03-23
SHP120099,ORD778099,Jeans,North,Delivered,2025-03-07,2025-03-11
SHP120100,ORD778100,Laptop,West,Delivered,2025-09-16,2025-09-20
SHP120101,ORD778101,Sofa,East,Delivered,2025-05-18,2025-05-23
SHP120102,ORD778102,Jacket,South,Delivered,2025-05-22,2025-05-25
SHP120103,ORD778103,Dining Table,West,Delivered,2025-10-03,2025-10-07
SHP120104,ORD778104,Smartphone,East,Delivered,2025-03-07,2025-03-12
SHP120105,ORD778105,Jacket,South,Delivered,2025-05-20,2025-05-22
SHP120106,ORD778106,Car Seat,East,Delivered,2025-03-22,2025-03-30
SHP120107,ORD778107,Keyboard,West,Delivered,2025-03-26,2025-03-29
SHP120108,ORD778108,Face Cream,North,Delivered,2025-09-19,2025-09-27
SHP120109,ORD778109,Sofa,East,Delivered,2025-06-15,2025-06-22
SHP120110,ORD778110,Face Cream,East,Delivered,2025-04-06,2025-04-11
SHP120111,ORD778111,Laptop,South,Delivered,2025-10-20,2025-10-24
SHP120112,ORD778112,Keyboard,East,Delivered,2025-02-16,2025-02-21
SHP120113,ORD778113,Engine Oil,South,Delivered,2025-11-06,2025-11-09
SHP120114,ORD778114,Jacket,South,In Transit,2025-03-31,2025-04-03
SHP120115,ORD778115,Jeans,South,Delivered,2025-07-14,2025-07-19
SHP120116,ORD778116,Dining Table,West,Delivered,2025-07-12,2025-07-16
SHP120117,ORD778117,Keyboard,West,Delayed,2025-10-14,2025-10-17
SHP120118,ORD778118,Dining Table,South,Delivered,2025-03-28,2025-04-03
SHP120119,ORD778119,Shampoo,South,Delivered,2025-11-11,2025-11-18
SHP120120,ORD778120,Headphones,West,Delivered,2025-03-26,2025-04-01
SHP120121,ORD778121,Jeans,East,Delivered,2025-11-01,2025-11-05
SHP120122,ORD778122,Sofa,East,Delivered,2025-04-02,2025-04-06
SHP120123,ORD778123,Other Product,West,Delivered,2025-08-18,2025-08-25
SHP120124,ORD778124,Car Seat,West,Delayed,2025-11-02,2025-11-08
SHP120125,ORD778125,Car Seat,North,Delivered,2025-03-12,2025-03-17
SHP120126,ORD778126,Face Cream,East,Delivered,2025-11-18,2025-11-26
SHP120127,ORD778127,Keyboard,West,Delivered,2025-07-10,2025-07-14
SHP120128,ORD778128,T-Shirt,East,Delivered,2025-11-21,2025-11-28
SHP120129,ORD778129,Jacket,West,Delayed,2025-06-04,2025-06-07
SHP120130,ORD778130,Headphones,North,Delivered,2025-08-09,2025-08-16
SHP120131,ORD778131,Monitor,West,Delivered,2025-03-12,2025-03-15
SHP120132,ORD778132,Jeans,East,Delivered,2025-09-11,2025-09-14
SHP120133,ORD778133,Jacket,West,Delivered,2025-01-27,2025-01-31
SHP120134,ORD778134,Sofa,West,In Transit,2025-05-11,2025-05-15
SHP120135,ORD778135,Keyboard,West,Delivered,2025-10-24,2025-10-27
SHP120136,ORD778136,Keyboard,West,Delivered,2025-05-21,2025-05-29
SHP120137,ORD778137,Jacket,North,Delayed,2025-01-14,2025-01-19
SHP120138,ORD778138,Car Seat,North,Delivered,2025-11-18,2025-11-20
SHP120139,ORD778139,Jeans,West,Delivered,2025-08-25,2025-09-01
SHP120140,ORD778140,Jeans,East,Delivered,2025-12-17,2025-12-21
SHP120141,ORD778141,Jeans,West,Delivered,2025-08-27,2025-09-03
SHP120142,ORD778142,Shampoo,East,Delivered,2025-08-09,2025-08-12
SHP120143,ORD778143,Headphones,South,Delivered,2025-06-13,2025-06-17
SHP120144,ORD778144,Headphones,East,Delivered,2025-10-08,2025-10-13
SHP120145,ORD778145,Jeans,South,Delivered,2025-01-07,2025-01-10
SHP120146,ORD778146,Keyboard,South,Delivered,2025-11-06,2025-11-11
SHP120147,ORD778147,Headphones,West,Delivered,2025-02-10,2025-02-17
SHP120148,ORD778148,Engine Oil,West,Delivered,2025-08-13,2025-08-18
SHP120149,ORD778149,Car Seat,North,Delivered,2025-06-10,2025-06-15
SHP120150,ORD778150,Car Seat,West,Delivered,2025-07-08,2025-07-13
SHP120151,ORD778151,Headphones,East,Delivered,2025-11-01,2025-11-05
SHP120152,ORD778152,Jeans,North,Delivered,2025-02-14,2025-02-16
SHP120153,ORD778153,Keyboard,East,Delivered,2025-05-17,2025-05-21
SHP120154,ORD778154,Headphones,West,Delivered,2025-12-23,2025-12-28
SHP120155,ORD778155,T-Shirt,South,Delivered,2025-03-10,2025-03-15
SHP120156,ORD778156,Laptop,South,Delivered,2025-08-25,2025-08-30
SHP120157,ORD778157,T-Shirt,South,Delivered,2025-11-28,2025-12-06
SHP120158,ORD778158,Headphones,South,Delivered,2025-05-16,2025-05-20
SHP120159,ORD778159,Other Product,East,Delivered,2025-11-15,2025-11-18
SHP120160,ORD778160,Engine Oil,South,Delivered,2025-08-06,2025-08-12
SHP120161,ORD778161,Sofa,North,Delivered,2025-04-11,2025-04-15
SHP120162,ORD778162,Jeans,North,Delivered,2025-02-15,2025-02-19
SHP120163,ORD778163,T-Shirt,South,Delivered,2025-05-21,2025-05-24
SHP120164,ORD778164,Smartphone,East,Delivered,2025-10-05,2025-10-10
SHP120165,ORD778165,Face Cream,South,Delivered,2025-01-13,2025-01-15
SHP120166,ORD778166,T-Shirt,West,Delivered,2025-11-14,2025-11-18
SHP120167,ORD778167,Engine Oil,East,Delivered,2025-03-01,2025-03-09
SHP120168,ORD778168,Sofa,South,Delivered,2025-03-07,2025-03-11
SHP120169,ORD778169,Smartphone,East,Delivered,2025-12-31,2026-01-03
SHP120170,ORD778170,Face Cream,East,Delivered,2025-08-17,2025-08-20
SHP120171,ORD778171,Keyboard,North,Delivered,2025-01-07,2025-01-12
SHP120172,ORD778172,Laptop,South,In Transit,2025-04-03,2025-04-07
SHP120173,ORD778173,Smartphone,East,Delivered,2025-10-26,2025-10-28
SHP120174,ORD778174,Jeans,West,Delivered,2025-04-23,2025-04-29
SHP120175,ORD778175,Keyboard,South,In Transit,2025-05-14,2025-05-19
SHP120176,ORD778176,Engine Oil,North,In Transit,2025-09-17,2025-09-21
SHP120177,ORD778177,Headphones,East,Delivered,2025-06-12,2025-06-15
SHP120178,ORD778178,Shampoo,East,Delivered,2025-08-03,2025-08-07
SHP120179,ORD778179,Dining Table,West,Delivered,2025-07-19,2025-07-23
SHP120180,ORD778180,Jacket,North,In Transit,2025-03-12,2025-03-14
SHP120181,ORD778181,Smartphone,South,Delivered,2025-09-05,2025-09-08
SHP120182,ORD778182,Jacket,South,Delivered,2025-09-25,2025-10-01
SHP120183,ORD778183,Face Cream,East,Delayed,2025-07-25,2025-07-27
SHP120184,ORD778184,Smartphone,South,Delivered,2025-10-01,2025-10-07
SHP120185,ORD778185,Jeans,South,Delivered,2025-01-12,2025-01-18
SHP120186,ORD778186,Jacket,West,Delivered,2025-10-25,2025-10-27
SHP120187,ORD778187,Monitor,West,Delivered,2025-02-24,2025-03-01
SHP120188,ORD778188,Keyboard,West,Delayed,2025-11-08,2025-11-10
SHP120189,ORD778189,Smartphone,North,Delivered,2025-11-21,2025-11-26
SHP120190,ORD778190,Jeans,North,Delivered,2025-06-28,2025-07-02
SHP120191,ORD778191,T-Shirt,West,Delivered,2025-08-08,2025-08-12
SHP120192,ORD778192,Car Seat,North,Delivered,2025-02-01,2025-02-05
SHP120193,ORD778193,Car Seat,North,Delivered,2025-10-22,2025-10-24
SHP120194,ORD778194,Other Product,West,Delivered,2025-03-24,2025-03-26
SHP120195,ORD778195,Monitor,North,Delivered,2025-02-21,2025-02-25
SHP120196,ORD778196,Face Cream,West,Delivered,2025-05-02,2025-05-07
SHP120197,ORD778197,Face Cream,West,Delivered,2025-11-28,2025-12-02
SHP120198,ORD778198,Shampoo,West,Delivered,2025-05-17,2025-05-19
SHP120199,ORD778199,Monitor,North,Delivered,2025-07-25,2025-07-28
SHP120200,ORD778200,Laptop,South,Delivered,2025-03-24,2025-04-01
SHP120201,ORD778201,Shampoo,West,Delivered,2025-09-23,2025-09-30
SHP120202,ORD778202,Face Cream,North,Delivered,2025-01-14,2025-01-19
SHP120203,ORD778203,T-Shirt,North,Delivered,2025-07-05,2025-07-09
SHP120204,ORD778204,Jeans,East,Delivered,2025-12-28,2025-12-30
SHP120205,ORD778205,Sofa,South,Delivered,2025-06-06,2025-06-12
SHP120206,ORD778206,Engine Oil,East,Delivered,2025-11-02,2025-11-04
SHP120207,ORD778207,Keyboard,West,Delivered,2025-11-15,2025-11-18
SHP120208,ORD778208,Face Cream,East,Delivered,2025-09-08,2025-09-13
SHP120209,ORD778209,Shampoo,East,In Transit,2025-02-19,2025-02-24
SHP120210,ORD778210,Laptop,North,In Transit,2025-10-06,2025-10-12
SHP120211,ORD778211,Car Seat,North,Delivered,2025-01-02,2025-01-07
SHP120212,ORD778212,Jeans,East,Delivered,2025-02-23,2025-02-26
SHP120213,ORD778213,Face Cream,South,Delayed,2025-06-30,2025-07-05
SHP120214,ORD778214,Smartphone,East,Delivered,2025-09-09,2025-09-14
SHP120215,ORD778215,T-Shirt,South,Delivered,2025-09-13,2025-09-20
SHP120216,ORD778216,Other Product,West,Delayed,2025-06-28,2025-07-02
SHP120217,ORD778217,Headphones,East,Delivered,2025-11-07,2025-11-10
SHP120218,ORD778218,Jacket,East,Delivered,2025-05-22,2025-05-24
SHP120219,ORD778219,Sofa,West,Delivered,2025-10-03,2025-10-07
SHP120220,ORD778220,Engine Oil,East,Delivered,2025-12-30,2026-01-03
SHP120221,ORD778221,T-Shirt,East,Delivered,2025-10-13,2025-10-18
SHP120222,ORD778222,Sofa,East,Delivered,2025-01-23,2025-01-26
SHP120223,ORD778223,Sofa,West,Delivered,2025-12-18,2025-12-24
SHP120224,ORD778224,Jeans,West,Delivered,2025-10-21,2025-10-26
SHP120225,ORD778225,T-Shirt,West,Delivered,2025-05-07,2025-05-13
SHP120226,ORD778226,Headphones,North,Delivered,2025-10-19,2025-10-26
SHP120227,ORD778227,Jeans,South,Delivered,2025-08-30,2025-09-04
SHP120228,ORD778228,Face Cream,West,Delivered,2025-08-04,2025-08-12
SHP120229,ORD778229,Face Cream,North,Delivered,2025-01-22,2025-01-25
SHP120230,ORD778230,Sofa,East,Delivered,2025-03-25,2025-03-29
SHP120231,ORD778231,Smartphone,East,Delivered,2025-10-20,2025-10-24
SHP120232,ORD778232,Jeans,North,Delivered,2025-05-02,2025-05-05
SHP120233,ORD778233,Monitor,East,Delivered,2025-10-19,2025-10-21
SHP120234,ORD778234,Dining Table,North,Delivered,2025-05-10,2025-05-14
SHP120235,ORD778235,Dining Table,East,Delivered,2025-03-02,2025-03-09
SHP120236,ORD778236,T-Shirt,North,Delivered,2025-08-06,2025-08-14
SHP120237,ORD778237,Other Product,West,In Transit,2025-11-01,2025-11-06
SHP120238,ORD778238,Other Product,North,Delivered,2025-04-07,2025-04-09
SHP120239,ORD778239,Other Product,South,Delivered,2025-09-05,2025-09-07
SHP120240,ORD778240,Jacket,West,Delivered,2025-05-07,2025-05-13
SHP120241,ORD778241,Sofa,East,Delivered,2025-11-18,2025-11-23
SHP120242,ORD778242,Dining Table,West,Delivered,2025-09-25,2025-09-30
SHP120243,ORD778243,Keyboard,West,Delivered,2025-08-31,2025-09-04
SHP120244,ORD778244,Sofa,North,Delivered,2025-02-04,2025-02-10
SHP120245,ORD778245,Other Product,East,Delivered,2025-01-25,2025-01-28
SHP120246,ORD778246,Dining Table,North,Delivered,2025-06-23,2025-06-29
SHP120247,ORD778247,Jeans,North,Delivered,2025-06-24,2025-06-27
SHP120248,ORD778248,Smartphone,East,Delivered,2025-05-05,2025-05-07
SHP120249,ORD778249,T-Shirt,North,Delivered,2025-05-09,2025-05-13
SHP120250,ORD778250,Face Cream,South,Delivered,2025-10-30,2025-11-02
SHP120251,ORD778251,Shampoo,West,Delivered,2025-07-26,2025-08-03
SHP120252,ORD778252,T-Shirt,West,Delivered,2025-09-01,2025-09-05
SHP120253,ORD778253,Laptop,North,Delivered,2025-06-18,2025-06-20
SHP120254,ORD778254,Shampoo,North,Delivered,2025-03-03,2025-03-11
SHP120255,ORD778255,Laptop,West,In Transit,2025-05-11,2025-05-16
SHP120256,ORD778256,Headphones,East,Delivered,2025-04-24,2025-04-28
SHP120257,ORD778257,Jeans,South,Delivered,2025-05-05,2025-05-09
SHP120258,ORD778258,Smartphone,North,Delivered,2025-05-04,2025-05-07
SHP120259,ORD778259,Jeans,West,Delivered,2025-08-01,2025-08-04
SHP120260,ORD778260,Car Seat,East,Delivered,2025-10-11,2025-10-15
SHP120261,ORD778261,Shampoo,North,Delivered,2025-09-06,2025-09-09
SHP120262,ORD778262,Jeans,East,Delivered,2025-06-03,2025-06-06
SHP120263,ORD778263,T-Shirt,North,Delivered,2025-12-25,2025-12-31
SHP120264,ORD778264,Shampoo,North,Delivered,2025-01-25,2025-01-29
SHP120265,ORD778265,Car Seat,North,In Transit,2025-10-29,2025-11-01
SHP120266,ORD778266,Jacket,South,Delivered,2025-05-09,2025-05-17
SHP120267,ORD778267,Jacket,East,Delivered,2025-07-30,2025-08-05
SHP120268,ORD778268,Headphones,North,Delivered,2025-04-08,2025-04-11
SHP120269,ORD778269,Jacket,East,Delivered,2025-07-19,2025-07-26
SHP120270,ORD778270,Sofa,North,Delivered,2025-01-27,2025-01-31
SHP120271,ORD778271,Other Product,West,Delivered,2025-04-11,2025-04-16
SHP120272,ORD778272,Engine Oil,East,Delivered,2025-07-10,2025-07-13
SHP120273,ORD778273,Dining Table,West,Delivered,2025-05-05,2025-05-07
SHP120274,ORD778274,Other Product,North,Delivered,2025-11-14,2025-11-16
SHP120275,ORD778275,Jacket,North,Delivered,2025-12-30,2026-01-03
SHP120276,ORD778276,Monitor,West,Delivered,2025-04-22,2025-04-26
SHP120277,ORD778277,Headphones,South,Delivered,2025-06-15,2025-06-20
SHP120278,ORD778278,Monitor,East,Delivered,2025-12-08,2025-12-13
SHP120279,ORD778279,Jeans,North,Delivered,2025-02-17,2025-02-19
SHP120280,ORD778280,Jacket,East,Delivered,2025-10-12,2025-10-15
SHP120281,ORD778281,Other Product,East,Delivered,2025-01-26,2025-01-30
SHP120282,ORD778282,Car Seat,North,Delivered,2025-12-15,2025-12-21
SHP120283,ORD778283,Sofa,North,Delivered,2025-04-11,2025-04-14
SHP120284,ORD778284,Keyboard,North,In Transit,2025-10-24,2025-10-29
SHP120285,ORD778285,T-Shirt,South,Delivered,2025-04-22,2025-04-25
SHP120286,ORD778286,Other Product,East,Delivered,2025-04-18,2025-04-21
SHP120287,ORD778287,Jacket,North,Delivered,2025-06-21,2025-06-26
SHP120288,ORD778288,T-Shirt,West,Delivered,2025-03-04,2025-03-07
SHP120289,ORD778289,Sofa,North,Delivered,2025-12-09,2025-12-17
SHP120290,ORD778290,Engine Oil,South,Delivered,2025-02-18,2025-02-23
SHP120291,ORD778291,Jacket,North,Delivered,2025-08-28,2025-08-31
SHP120292,ORD778292,Jacket,South,Delivered,2025-05-28,2025-06-05
SHP120293,ORD778293,Shampoo,East,Delivered,2025-12-26,2025-12-28
SHP120294,ORD778294,Dining Table,North,Delivered,2025-09-04,2025-09-08
SHP120295,ORD778295,Keyboard,North,Delivered,2025-12-15,2025-12-20
SHP120296,ORD778296,Engine Oil,South,Delivered,2025-02-22,2025-02-28
SHP120297,ORD778297,Monitor,East,In Transit,2025-09-19,2025-09-22
SHP120298,ORD778298,Jeans,South,Delivered,2025-06-27,2025-06-29
SHP120299,ORD778299,Dining Table,West,In Transit,2025-07-10,2025-07-16
SHP120300,ORD778300,Jeans,West,Delivered,2025-05-26,2025-05-29
SHP120301,ORD778301,Keyboard,East,Delivered,2025-01-13,2025-01-18
SHP120302,ORD778302,Jacket,North,Delivered,2025-02-12,2025-02-17
SHP120303,ORD778303,Other Product,West,Delivered,2025-11-12,2025-11-16
SHP120304,ORD778304,Sofa,South,In Transit,2025-09-23,2025-09-27
SHP120305,ORD778305,Keyboard,South,Delivered,2025-02-06,2025-02-09
SHP120306,ORD778306,Smartphone,West,Delivered,2025-09-30,2025-10-02
SHP120307,ORD778307,Headphones,East,Delivered,2025-07-22,2025-07-28
SHP120308,ORD778308,Monitor,East,Delivered,2025-08-16,2025-08-22
SHP120309,ORD778309,Laptop,North,Delivered,2025-02-21,2025-02-26
SHP120310,ORD778310,T-Shirt,East,Delivered,2025-05-05,2025-05-07
SHP120311,ORD778311,Car Seat,East,Delivered,2025-04-19,2025-04-22
SHP120312,ORD778312,Other Product,North,Delayed,2025-06-21,2025-06-23
SHP120313,ORD778313,T-Shirt,North,Delivered,2025-07-13,2025-07-16
SHP120314,ORD778314,Sofa,South,Delivered,2025-04-17,2025-04-19
SHP120315,ORD778315,Smartphone,East,Delivered,2025-02-20,2025-02-24
SHP120316,ORD778316,T-Shirt,North,Delivered,2025-05-15,2025-05-19
SHP120317,ORD778317,Engine Oil,North,Delivered,2025-10-17,2025-10-22
SHP120318,ORD778318,Sofa,East,Delivered,2025-03-02,2025-03-06
SHP120319,ORD778319,T-Shirt,South,Delivered,2025-10-23,2025-10-30
SHP120320,ORD778320,T-Shirt,North,Delayed,2025-10-07,2025-10-10
SHP120321,ORD778321,Headphones,South,Delivered,2025-02-07,2025-02-10
SHP120322,ORD778322,Shampoo,North,Delivered,2025-01-11,2025-01-17
SHP120323,ORD778323,Shampoo,South,Delivered,2025-11-05,2025-11-12
SHP120324,ORD778324,Smartphone,East,Delivered,2025-01-10,2025-01-15
SHP120325,ORD778325,T-Shirt,West,Delivered,2025-06-24,2025-06-28
SHP120326,ORD778326,Monitor,South,Delivered,2025-10-19,2025-10-24
SHP120327,ORD778327,Headphones,East,Delivered,2025-02-24,2025-02-28
SHP120328,ORD778328,Monitor,South,In Transit,2025-11-03,2025-11-07
SHP120329,ORD778329,Car Seat,East,Delivered,2025-01-22,2025-01-26
SHP120330,ORD778330,Laptop,East,Delayed,2025-06-06,2025-06-08
SHP120331,ORD778331,Jeans,West,In Transit,2025-11-07,2025-11-11
SHP120332,ORD778332,Headphones,North,Delivered,2025-01-19,2025-01-23
SHP120333,ORD778333,Sofa,North,Delayed,2025-03-24,2025-03-28
SHP120334,ORD778334,Sofa,East,Delivered,2025-01-12,2025-01-18
SHP120335,ORD778335,Jacket,East,Delivered,2025-05-25,2025-05-30
SHP120336,ORD778336,Laptop,South,Delivered,2025-09-22,2025-09-27
SHP120337,ORD778337,Other Product,West,Delivered,2025-10-26,2025-10-29
SHP120338,ORD778338,Other Product,East,Delivered,2025-06-20,2025-06-22
SHP120339,ORD778339,Laptop,East,Delivered,2025-04-11,2025-04-15
SHP120340,ORD778340,Face Cream,East,Delivered,2025-09-26,2025-10-03
SHP120341,ORD778341,Car Seat,West,Delivered,2025-03-26,2025-03-28
SHP120342,ORD778342,Jeans,South,In Transit,2025-06-03,2025-06-08
SHP120343,ORD778343,Jeans,South,Delivered,2025-12-30,2026-01-03
SHP120344,ORD778344,Monitor,West,Delivered,2025-03-04,2025-03-07
SHP120345,ORD778345,Face Cream,North,Delivered,2025-04-12,2025-04-16
SHP120346,ORD778346,Dining Table,North,Delivered,2025-03-15,2025-03-19
SHP120347,ORD778347,Sofa,South,Delivered,2025-08-06,2025-08-11
SHP120348,ORD778348,Other Product,West,Delivered,2025-10-24,2025-10-31
SHP120349,ORD778349,Other Product,East,In Transit,2025-01-05,2025-01-08
SHP120350,ORD778350,Other Product,South,Delivered,2025-02-17,2025-02-22
SHP120351,ORD778351,Keyboard,South,Delivered,2025-11-16,2025-11-19
SHP120352,ORD778352,Jacket,North,Delivered,2025-04-11,2025-04-14
SHP120353,ORD778353,Keyboard,East,Delivered,2025-10-23,2025-10-30
SHP120354,ORD778354,Other Product,West,Delivered,2025-02-11,2025-02-15
SHP120355,ORD778355,Monitor,North,Delivered,2025-07-03,2025-07-09
SHP120356,ORD778356,Jeans,East,Delivered,2025-01-05,2025-01-08
SHP120357,ORD778357,T-Shirt,East,Delivered,2025-04-18,2025-04-23
SHP120358,ORD778358,Sofa,East,Delivered,2025-08-07,2025-08-11
SHP120359,ORD778359,Face Cream,North,Delivered,2025-11-11,2025-11-17
